Enfermero,UM,Paciente,Valor
5001,3001,1094,-0.0
5001,3001,1097,-0.0
5001,3002,1094,-0.0
5001,3002,1097,0.0
5001,3003,1094,-0.0
5001,3003,1097,-0.0
5001,3004,1094,-0.0
5001,3004,1097,-0.0
5001,3005,1094,-0.0
5001,3005,1097,0.0
5001,3006,1094,-0.0
5001,3006,1097,-0.0
5001,3007,1094,-0.0
5001,3007,1097,-0.0
5001,3008,1094,-0.0
5001,3008,1097,-0.0
5001,3009,1094,-0.0
5001,3009,1097,-0.0
5001,3010,1094,-0.0
5001,3010,1097,-0.0
5001,3011,1094,-0.0
5001,3011,1097,-0.0
5001,3012,1094,-0.0
5001,3012,1097,-0.0
5002,3001,1094,-0.0
5002,3001,1097,-0.0
5002,3002,1094,-0.0
5002,3002,1097,-0.0
5002,3003,1094,-0.0
5002,3003,1097,-0.0
5002,3004,1094,-0.0
5002,3004,1097,-0.0
5002,3005,1094,-0.0
5002,3005,1097,-0.0
5002,3006,1094,-0.0
5002,3006,1097,-0.0
5002,3007,1094,-0.0
5002,3007,1097,-0.0
5002,3008,1094,-0.0
5002,3008,1097,-0.0
5002,3009,1094,-0.0
5002,3009,1097,-0.0
5002,3010,1094,-0.0
5002,3010,1097,-0.0
5002,3011,1094,-0.0
5002,3011,1097,-0.0
5002,3012,1094,-0.0
5002,3012,1097,-0.0
5003,3001,1094,-0.0
5003,3001,1097,0.0
5003,3002,1094,-0.0
5003,3002,1097,0.0
5003,3003,1094,-0.0
5003,3003,1097,0.0
5003,3004,1094,-0.0
5003,3004,1097,0.0
5003,3005,1094,-0.0
5003,3005,1097,0.0
5003,3006,1094,-0.0
5003,3006,1097,0.0
5003,3007,1094,-0.0
5003,3007,1097,0.0
5003,3008,1094,-0.0
5003,3008,1097,0.0
5003,3009,1094,-0.0
5003,3009,1097,0.0
5003,3010,1094,-0.0
5003,3010,1097,0.0
5003,3011,1094,-0.0
5003,3011,1097,0.0
5003,3012,1094,-0.0
5003,3012,1097,0.0
5004,3001,1094,-0.0
5004,3001,1097,-0.0
5004,3002,1094,-0.0
5004,3002,1097,-0.0
5004,3003,1094,-0.0
5004,3003,1097,-0.0
5004,3004,1094,-0.0
5004,3004,1097,-0.0
5004,3005,1094,-0.0
5004,3005,1097,-0.0
5004,3006,1094,-0.0
5004,3006,1097,-0.0
5004,3007,1094,-0.0
5004,3007,1097,-0.0
5004,3008,1094,-0.0
5004,3008,1097,-0.0
5004,3009,1094,-0.0
5004,3009,1097,-0.0
5004,3010,1094,-0.0
5004,3010,1097,-0.0
5004,3011,1094,-0.0
5004,3011,1097,-0.0
5004,3012,1094,-0.0
5004,3012,1097,-0.0
5005,3001,1094,-0.0
5005,3001,1097,-0.0
5005,3002,1094,-0.0
5005,3002,1097,-0.0
5005,3003,1094,-0.0
5005,3003,1097,-0.0
5005,3004,1094,-0.0
5005,3004,1097,-0.0
5005,3005,1094,-0.0
5005,3005,1097,-0.0
5005,3006,1094,-0.0
5005,3006,1097,-0.0
5005,3007,1094,-0.0
5005,3007,1097,-0.0
5005,3008,1094,-0.0
5005,3008,1097,-0.0
5005,3009,1094,1.0
5005,3009,1097,-0.0
5005,3010,1094,-0.0
5005,3010,1097,-0.0
5005,3011,1094,-0.0
5005,3011,1097,-0.0
5005,3012,1094,-0.0
5005,3012,1097,-0.0
5006,3001,1094,-0.0
5006,3001,1097,-0.0
5006,3002,1094,0.0
5006,3002,1097,0.0
5006,3003,1094,0.0
5006,3003,1097,0.0
5006,3004,1094,0.0
5006,3004,1097,0.0
5006,3005,1094,0.0
5006,3005,1097,0.0
5006,3006,1094,0.0
5006,3006,1097,0.0
5006,3007,1094,0.0
5006,3007,1097,0.0
5006,3008,1094,0.0
5006,3008,1097,0.0
5006,3009,1094,0.0
5006,3009,1097,0.0
5006,3010,1094,0.0
5006,3010,1097,0.0
5006,3011,1094,0.0
5006,3011,1097,0.0
5006,3012,1094,0.0
5006,3012,1097,0.0
5007,3001,1094,-0.0
5007,3001,1097,0.0
5007,3002,1094,-0.0
5007,3002,1097,0.0
5007,3003,1094,-0.0
5007,3003,1097,0.0
5007,3004,1094,-0.0
5007,3004,1097,0.0
5007,3005,1094,-0.0
5007,3005,1097,-0.0
5007,3006,1094,-0.0
5007,3006,1097,0.0
5007,3007,1094,-0.0
5007,3007,1097,0.0
5007,3008,1094,-0.0
5007,3008,1097,0.0
5007,3009,1094,-0.0
5007,3009,1097,0.0
5007,3010,1094,-0.0
5007,3010,1097,0.0
5007,3011,1094,-0.0
5007,3011,1097,0.0
5007,3012,1094,-0.0
5007,3012,1097,0.0
5008,3001,1094,-0.0
5008,3001,1097,-0.0
5008,3002,1094,-0.0
5008,3002,1097,-0.0
5008,3003,1094,-0.0
5008,3003,1097,-0.0
5008,3004,1094,-0.0
5008,3004,1097,-0.0
5008,3005,1094,-0.0
5008,3005,1097,-0.0
5008,3006,1094,-0.0
5008,3006,1097,-0.0
5008,3007,1094,-0.0
5008,3007,1097,-0.0
5008,3008,1094,-0.0
5008,3008,1097,-0.0
5008,3009,1094,-0.0
5008,3009,1097,-0.0
5008,3010,1094,-0.0
5008,3010,1097,-0.0
5008,3011,1094,-0.0
5008,3011,1097,-0.0
5008,3012,1094,-0.0
5008,3012,1097,-0.0
5009,3001,1094,-0.0
5009,3001,1097,-0.0
5009,3002,1094,-0.0
5009,3002,1097,-0.0
5009,3003,1094,0.0
5009,3003,1097,-0.0
5009,3004,1094,-0.0
5009,3004,1097,-0.0
5009,3005,1094,-0.0
5009,3005,1097,-0.0
5009,3006,1094,-0.0
5009,3006,1097,-0.0
5009,3007,1094,-0.0
5009,3007,1097,-0.0
5009,3008,1094,-0.0
5009,3008,1097,-0.0
5009,3009,1094,-0.0
5009,3009,1097,-0.0
5009,3010,1094,-0.0
5009,3010,1097,-0.0
5009,3011,1094,-0.0
5009,3011,1097,-0.0
5009,3012,1094,-0.0
5009,3012,1097,-0.0
5010,3001,1094,-0.0
5010,3001,1097,-0.0
5010,3002,1094,0.0
5010,3002,1097,-0.0
5010,3003,1094,-0.0
5010,3003,1097,-0.0
5010,3004,1094,-0.0
5010,3004,1097,-0.0
5010,3005,1094,0.0
5010,3005,1097,-0.0
5010,3006,1094,0.0
5010,3006,1097,-0.0
5010,3007,1094,0.0
5010,3007,1097,-0.0
5010,3008,1094,0.0
5010,3008,1097,-0.0
5010,3009,1094,-0.0
5010,3009,1097,-0.0
5010,3010,1094,0.0
5010,3010,1097,-0.0
5010,3011,1094,0.0
5010,3011,1097,-0.0
5010,3012,1094,-0.0
5010,3012,1097,-0.0
5011,3001,1094,-0.0
5011,3001,1097,-0.0
5011,3002,1094,-0.0
5011,3002,1097,-0.0
5011,3003,1094,-0.0
5011,3003,1097,-0.0
5011,3004,1094,-0.0
5011,3004,1097,-0.0
5011,3005,1094,-0.0
5011,3005,1097,-0.0
5011,3006,1094,-0.0
5011,3006,1097,-0.0
5011,3007,1094,-0.0
5011,3007,1097,1.0
5011,3008,1094,-0.0
5011,3008,1097,-0.0
5011,3009,1094,-0.0
5011,3009,1097,-0.0
5011,3010,1094,-0.0
5011,3010,1097,-0.0
5011,3011,1094,-0.0
5011,3011,1097,-0.0
5011,3012,1094,-0.0
5011,3012,1097,-0.0
5012,3001,1094,-0.0
5012,3001,1097,-0.0
5012,3002,1094,-0.0
5012,3002,1097,-0.0
5012,3003,1094,-0.0
5012,3003,1097,-0.0
5012,3004,1094,-0.0
5012,3004,1097,-0.0
5012,3005,1094,-0.0
5012,3005,1097,-0.0
5012,3006,1094,-0.0
5012,3006,1097,-0.0
5012,3007,1094,-0.0
5012,3007,1097,-0.0
5012,3008,1094,-0.0
5012,3008,1097,-0.0
5012,3009,1094,-0.0
5012,3009,1097,-0.0
5012,3010,1094,-0.0
5012,3010,1097,-0.0
5012,3011,1094,-0.0
5012,3011,1097,-0.0
5012,3012,1094,-0.0
5012,3012,1097,-0.0
5013,3001,1094,-0.0
5013,3001,1097,-0.0
5013,3002,1094,-0.0
5013,3002,1097,-0.0
5013,3003,1094,-0.0
5013,3003,1097,-0.0
5013,3004,1094,-0.0
5013,3004,1097,-0.0
5013,3005,1094,-0.0
5013,3005,1097,0.0
5013,3006,1094,-0.0
5013,3006,1097,-0.0
5013,3007,1094,-0.0
5013,3007,1097,-0.0
5013,3008,1094,-0.0
5013,3008,1097,-0.0
5013,3009,1094,-0.0
5013,3009,1097,-0.0
5013,3010,1094,-0.0
5013,3010,1097,-0.0
5013,3011,1094,-0.0
5013,3011,1097,-0.0
5013,3012,1094,-0.0
5013,3012,1097,-0.0
5014,3001,1094,-0.0
5014,3001,1097,-0.0
5014,3002,1094,-0.0
5014,3002,1097,-0.0
5014,3003,1094,-0.0
5014,3003,1097,-0.0
5014,3004,1094,-0.0
5014,3004,1097,-0.0
5014,3005,1094,-0.0
5014,3005,1097,-0.0
5014,3006,1094,-0.0
5014,3006,1097,-0.0
5014,3007,1094,-0.0
5014,3007,1097,-0.0
5014,3008,1094,-0.0
5014,3008,1097,-0.0
5014,3009,1094,-0.0
5014,3009,1097,-0.0
5014,3010,1094,-0.0
5014,3010,1097,-0.0
5014,3011,1094,-0.0
5014,3011,1097,-0.0
5014,3012,1094,-0.0
5014,3012,1097,-0.0
5015,3001,1094,-0.0
5015,3001,1097,-0.0
5015,3002,1094,-0.0
5015,3002,1097,-0.0
5015,3003,1094,-0.0
5015,3003,1097,-0.0
5015,3004,1094,-0.0
5015,3004,1097,-0.0
5015,3005,1094,-0.0
5015,3005,1097,-0.0
5015,3006,1094,-0.0
5015,3006,1097,-0.0
5015,3007,1094,-0.0
5015,3007,1097,-0.0
5015,3008,1094,-0.0
5015,3008,1097,-0.0
5015,3009,1094,-0.0
5015,3009,1097,-0.0
5015,3010,1094,-0.0
5015,3010,1097,-0.0
5015,3011,1094,-0.0
5015,3011,1097,-0.0
5015,3012,1094,-0.0
5015,3012,1097,-0.0
5016,3001,1094,-0.0
5016,3001,1097,-0.0
5016,3002,1094,-0.0
5016,3002,1097,-0.0
5016,3003,1094,-0.0
5016,3003,1097,-0.0
5016,3004,1094,-0.0
5016,3004,1097,-0.0
5016,3005,1094,-0.0
5016,3005,1097,-0.0
5016,3006,1094,-0.0
5016,3006,1097,-0.0
5016,3007,1094,-0.0
5016,3007,1097,-0.0
5016,3008,1094,-0.0
5016,3008,1097,-0.0
5016,3009,1094,-0.0
5016,3009,1097,-0.0
5016,3010,1094,-0.0
5016,3010,1097,-0.0
5016,3011,1094,-0.0
5016,3011,1097,-0.0
5016,3012,1094,-0.0
5016,3012,1097,-0.0
5017,3001,1094,-0.0
5017,3001,1097,-0.0
5017,3002,1094,-0.0
5017,3002,1097,-0.0
5017,3003,1094,-0.0
5017,3003,1097,-0.0
5017,3004,1094,-0.0
5017,3004,1097,-0.0
5017,3005,1094,-0.0
5017,3005,1097,-0.0
5017,3006,1094,-0.0
5017,3006,1097,-0.0
5017,3007,1094,-0.0
5017,3007,1097,-0.0
5017,3008,1094,-0.0
5017,3008,1097,-0.0
5017,3009,1094,-0.0
5017,3009,1097,-0.0
5017,3010,1094,-0.0
5017,3010,1097,-0.0
5017,3011,1094,-0.0
5017,3011,1097,-0.0
5017,3012,1094,-0.0
5017,3012,1097,-0.0
5018,3001,1094,-0.0
5018,3001,1097,-0.0
5018,3002,1094,-0.0
5018,3002,1097,-0.0
5018,3003,1094,-0.0
5018,3003,1097,-0.0
5018,3004,1094,-0.0
5018,3004,1097,-0.0
5018,3005,1094,-0.0
5018,3005,1097,-0.0
5018,3006,1094,-0.0
5018,3006,1097,-0.0
5018,3007,1094,-0.0
5018,3007,1097,-0.0
5018,3008,1094,-0.0
5018,3008,1097,-0.0
5018,3009,1094,-0.0
5018,3009,1097,-0.0
5018,3010,1094,-0.0
5018,3010,1097,-0.0
5018,3011,1094,-0.0
5018,3011,1097,-0.0
5018,3012,1094,-0.0
5018,3012,1097,-0.0
5019,3001,1094,-0.0
5019,3001,1097,-0.0
5019,3002,1094,-0.0
5019,3002,1097,-0.0
5019,3003,1094,-0.0
5019,3003,1097,-0.0
5019,3004,1094,-0.0
5019,3004,1097,-0.0
5019,3005,1094,-0.0
5019,3005,1097,-0.0
5019,3006,1094,-0.0
5019,3006,1097,-0.0
5019,3007,1094,-0.0
5019,3007,1097,-0.0
5019,3008,1094,-0.0
5019,3008,1097,-0.0
5019,3009,1094,-0.0
5019,3009,1097,-0.0
5019,3010,1094,-0.0
5019,3010,1097,-0.0
5019,3011,1094,-0.0
5019,3011,1097,-0.0
5019,3012,1094,-0.0
5019,3012,1097,-0.0
5020,3001,1094,-0.0
5020,3001,1097,-0.0
5020,3002,1094,-0.0
5020,3002,1097,-0.0
5020,3003,1094,-0.0
5020,3003,1097,-0.0
5020,3004,1094,-0.0
5020,3004,1097,-0.0
5020,3005,1094,-0.0
5020,3005,1097,-0.0
5020,3006,1094,-0.0
5020,3006,1097,-0.0
5020,3007,1094,-0.0
5020,3007,1097,-0.0
5020,3008,1094,-0.0
5020,3008,1097,-0.0
5020,3009,1094,-0.0
5020,3009,1097,-0.0
5020,3010,1094,-0.0
5020,3010,1097,-0.0
5020,3011,1094,-0.0
5020,3011,1097,-0.0
5020,3012,1094,-0.0
5020,3012,1097,-0.0
5021,3001,1094,-0.0
5021,3001,1097,0.0
5021,3002,1094,-0.0
5021,3002,1097,-0.0
5021,3003,1094,-0.0
5021,3003,1097,-0.0
5021,3004,1094,-0.0
5021,3004,1097,-0.0
5021,3005,1094,-0.0
5021,3005,1097,-0.0
5021,3006,1094,-0.0
5021,3006,1097,0.0
5021,3007,1094,-0.0
5021,3007,1097,-0.0
5021,3008,1094,-0.0
5021,3008,1097,0.0
5021,3009,1094,-0.0
5021,3009,1097,0.0
5021,3010,1094,-0.0
5021,3010,1097,0.0
5021,3011,1094,-0.0
5021,3011,1097,-0.0
5021,3012,1094,-0.0
5021,3012,1097,-0.0
5022,3001,1094,-0.0
5022,3001,1097,-0.0
5022,3002,1094,-0.0
5022,3002,1097,-0.0
5022,3003,1094,-0.0
5022,3003,1097,-0.0
5022,3004,1094,-0.0
5022,3004,1097,-0.0
5022,3005,1094,-0.0
5022,3005,1097,-0.0
5022,3006,1094,-0.0
5022,3006,1097,-0.0
5022,3007,1094,-0.0
5022,3007,1097,-0.0
5022,3008,1094,-0.0
5022,3008,1097,-0.0
5022,3009,1094,-0.0
5022,3009,1097,-0.0
5022,3010,1094,-0.0
5022,3010,1097,-0.0
5022,3011,1094,-0.0
5022,3011,1097,-0.0
5022,3012,1094,-0.0
5022,3012,1097,-0.0
5023,3001,1094,-0.0
5023,3001,1097,-0.0
5023,3002,1094,-0.0
5023,3002,1097,-0.0
5023,3003,1094,-0.0
5023,3003,1097,-0.0
5023,3004,1094,-0.0
5023,3004,1097,-0.0
5023,3005,1094,-0.0
5023,3005,1097,-0.0
5023,3006,1094,-0.0
5023,3006,1097,-0.0
5023,3007,1094,-0.0
5023,3007,1097,-0.0
5023,3008,1094,-0.0
5023,3008,1097,-0.0
5023,3009,1094,-0.0
5023,3009,1097,-0.0
5023,3010,1094,-0.0
5023,3010,1097,-0.0
5023,3011,1094,-0.0
5023,3011,1097,-0.0
5023,3012,1094,-0.0
5023,3012,1097,-0.0
5024,3001,1094,-0.0
5024,3001,1097,-0.0
5024,3002,1094,-0.0
5024,3002,1097,-0.0
5024,3003,1094,-0.0
5024,3003,1097,-0.0
5024,3004,1094,-0.0
5024,3004,1097,-0.0
5024,3005,1094,-0.0
5024,3005,1097,-0.0
5024,3006,1094,-0.0
5024,3006,1097,-0.0
5024,3007,1094,0.0
5024,3007,1097,-0.0
5024,3008,1094,-0.0
5024,3008,1097,-0.0
5024,3009,1094,-0.0
5024,3009,1097,-0.0
5024,3010,1094,-0.0
5024,3010,1097,-0.0
5024,3011,1094,-0.0
5024,3011,1097,-0.0
5024,3012,1094,-0.0
5024,3012,1097,-0.0
